iter	RMSE
0	5.549484437
1	5.528076196
2	5.508728924
3	5.491315031
4	5.474938053
5	5.460283158
6	5.44600842
7	5.433171384
8	5.421742709
9	5.410914068
10	5.400889982
11	5.391781217
12	5.3831697
13	5.375340353
14	5.367620094
15	5.360884901
16	5.35457128
17	5.348122468
18	5.342363646
19	5.336789861
20	5.331484774
21	5.326628044
22	5.322222
23	5.317855274
24	5.313813767
25	5.30980317
26	5.306203187
27	5.30302504
28	5.299527032
29	5.296613689
30	5.293780867
31	5.290785957
32	5.288160307
33	5.285748399
34	5.283214955
35	5.280822979
36	5.278524267
37	5.276469295
38	5.27451794
39	5.272573642
40	5.270709554
41	5.26893599
42	5.267382743
43	5.265613177
44	5.263748405
45	5.262319664
46	5.26073907
47	5.259441858
48	5.257818722
49	5.25648891
50	5.255009585
51	5.2536233
52	5.252347533
53	5.250794065
54	5.249366486
55	5.247988759
56	5.246780634
57	5.245506554
58	5.244340311
59	5.243131569
60	5.242058462
61	5.241121968
62	5.2400404
63	5.238784364
64	5.237752874
65	5.23679122
66	5.235670708
67	5.234671288
68	5.233471732
69	5.232518473
70	5.231558321
71	5.230513981
72	5.229711207
73	5.228799394
74	5.227772883
75	5.226848402
76	5.22601031
77	5.225009715
78	5.224083848
79	5.22318788
80	5.222313523
81	5.22147403
82	5.220726877
83	5.219801373
84	5.219040285
85	5.218155128
86	5.217313842
87	5.216444791
88	5.215762072
89	5.214834563
90	5.214090954
91	5.213358477
92	5.212698733
93	5.211747745
94	5.211156607
95	5.210340505
96	5.209700172
97	5.209016569
98	5.208313527
99	5.207723574
100	5.207083145
101	5.206350357
102	5.205558939
103	5.204903384
104	5.204221178
105	5.203499022
106	5.20301888
107	5.202536667
108	5.201939301
109	5.201251524
110	5.200645673
111	5.199945781
112	5.199385078
113	5.19871477
114	5.198220661
115	5.197547723
116	5.197000516
117	5.196378835
118	5.195794067
119	5.195263817
120	5.194849007
121	5.194254818
122	5.193648376
123	5.193004631
124	5.192187482
125	5.191603144
126	5.190960501
127	5.190489584
128	5.189849286
129	5.189371494
130	5.188826813
131	5.188345087
132	5.187622529
133	5.187085344
134	5.186603909
135	5.186028885
136	5.185627572
137	5.185248376
138	5.184751176
139	5.184319703
140	5.183963015
141	5.183405557
142	5.182941189
143	5.182227374
144	5.181723552
145	5.181084432
146	5.180664642
147	5.180151393
148	5.179635605
149	5.179014102
150	5.178557939
151	5.177935402
152	5.177317316
153	5.176889977
154	5.176444266
155	5.175898903
156	5.175336501
157	5.174866654
158	5.174291457
159	5.17384507
160	5.173477468
161	5.172736522
162	5.172481436
163	5.171995243
164	5.17172426
165	5.171266547
166	5.170639733
167	5.170202096
168	5.169893847
169	5.169438466
170	5.168996646
171	5.168681297
172	5.168262994
173	5.167858034
174	5.167485924
175	5.166979757
176	5.166405497
177	5.16598769
178	5.165622251
179	5.165205287
180	5.164805534
181	5.164338359
182	5.16386683
183	5.163433158
184	5.162787688
185	5.162395692
186	5.161921942
187	5.161565069
188	5.160955468
189	5.160527682
190	5.160041725
191	5.159436713
192	5.15895179
193	5.158644913
194	5.15823102
195	5.157857988
196	5.1573302
197	5.156869165
198	5.156566482
199	5.156287416
200	5.155768104
201	5.155368754
202	5.155025749
203	5.154601335
204	5.15417234
205	5.153789238
206	5.153410428
207	5.153154385
208	5.152851939
209	5.152582678
210	5.152199457
211	5.151716582
212	5.151283024
213	5.150904712
214	5.150496113
215	5.150266091
216	5.149711584
217	5.149231889
218	5.148659291
219	5.148260528
220	5.147960298
221	5.147545546
222	5.147105718
223	5.146829099
224	5.146309515
225	5.145898502
226	5.14556443
227	5.145170893
228	5.14486866
229	5.144585999
230	5.144125188
231	5.143663881
232	5.143376141
233	5.142983348
234	5.142671189
235	5.142264442
236	5.141941756
237	5.14157324
238	5.141212448
239	5.140929357
240	5.140595418
241	5.140111224
242	5.139887349
243	5.139523018
244	5.139175078
245	5.138765774
246	5.138460885
247	5.137967595
248	5.137697098
249	5.137257339
250	5.136845373
251	5.136522803
252	5.136061725
253	5.135522798
254	5.135181205
255	5.134827038
256	5.134520088
257	5.134212208
258	5.133820997
259	5.133574934
260	5.133137105
261	5.132817498
262	5.132512254
263	5.132094199
264	5.131770645
265	5.131408935
266	5.130953564
267	5.130601846
268	5.130281853
269	5.129782751
270	5.129563679
271	5.129103804
272	5.128721571
273	5.12843939
274	5.12792
275	5.127606924
276	5.127149158
277	5.126769293
278	5.126438089
279	5.12611555
280	5.125769443
281	5.125458522
282	5.125087907
283	5.124778316
284	5.124387528
285	5.123955317
286	5.123571556
287	5.123163293
288	5.122577258
289	5.12224624
290	5.121870359
291	5.121546388
292	5.12127777
293	5.120996094
294	5.120706623
295	5.120396538
296	5.119975434
297	5.119597784
298	5.11912511
299	5.118894365
300	5.118568832
301	5.118107053
302	5.117825432
303	5.117339313
304	5.117029024
305	5.116748031
306	5.11644618
307	5.115957869
308	5.115536857
309	5.115223252
310	5.114924519
311	5.11456597
312	5.114228935
313	5.113923957
314	5.113636377
315	5.113279571
316	5.113011206
317	5.112568636
318	5.112093707
319	5.111754217
320	5.111365184
321	5.111047655
322	5.110611335
323	5.110381123
324	5.110055506
325	5.109611534
326	5.109389762
327	5.109084266
328	5.108854214
329	5.10839431
