iter	Passed	Remaining
0	66	89530
1	132	88328
2	195	87221
3	261	87461
4	326	87051
5	393	87431
6	458	87336
7	524	87381
8	590	87353
9	654	87080
10	719	86936
11	777	86092
12	838	85575
13	902	85475
14	969	85625
15	1030	85255
16	1097	85393
17	1162	85396
18	1225	85202
19	1292	85297
20	1355	85141
21	1423	85251
22	1488	85248
23	1554	85262
24	1627	85610
25	1707	86269
26	1805	87823
27	1912	89629
28	2012	90995
29	2115	92395
30	2216	93586
31	2314	94595
32	2414	95613
33	2516	96646
34	2619	97662
35	2722	98597
36	2825	99486
37	2929	100376
38	3031	101140
39	3129	101712
40	3232	102408
41	3334	103062
42	3432	103526
43	3533	104084
44	3634	104600
45	3741	105261
46	3837	105559
47	3897	104919
48	3962	104397
49	4029	103954
50	4093	103451
51	4156	102944
52	4221	102500
53	4285	102058
54	4352	101689
55	4419	101331
56	4486	100978
57	4550	100570
58	4619	100302
59	4684	99946
60	4749	99585
61	4815	99268
62	4882	98960
63	4947	98643
64	5017	98417
65	5077	98017
66	5137	97617
67	5202	97322
68	5268	97040
69	5343	96939
70	5408	96661
71	5471	96354
72	5531	96004
73	5609	95968
74	5677	95764
75	5741	95490
76	5800	95148
77	5866	94923
78	5930	94665
79	5996	94437
80	6057	94150
81	6124	93959
82	6188	93719
83	6247	93420
84	6309	93159
85	6367	92846
86	6428	92583
87	6489	92328
88	6551	92095
89	6612	91836
90	6672	91581
91	6734	91356
92	6798	91155
93	6860	90943
94	6922	90727
95	6984	90513
96	7053	90389
97	7119	90228
98	7189	90129
99	7253	89940
100	7322	89831
101	7388	89681
102	7454	89529
103	7521	89393
104	7588	89256
105	7666	89253
106	7758	89407
107	7865	89720
108	7987	90206
109	8108	90665
110	8228	91108
111	8340	91448
112	8443	91680
113	8539	91839
114	8641	92054
115	8737	92195
116	8838	92393
117	8935	92536
118	9034	92697
119	9133	92860
120	9236	93056
121	9338	93232
122	9439	93398
123	9537	93528
124	9634	93650
125	9731	93762
126	9832	93907
127	9930	94025
128	10032	94179
129	10133	94321
130	10234	94451
131	10332	94553
132	10422	94582
133	10519	94678
134	10618	94780
135	10715	94861
136	10818	94997
137	10916	95081
138	11013	95159
139	11112	95246
140	11209	95320
141	11307	95395
142	11407	95490
143	11508	95584
144	11608	95672
145	11697	95665
146	11788	95673
147	11886	95730
148	11979	95753
149	12076	95804
150	12172	95846
151	12269	95892
152	12365	95933
153	12486	96160
154	12587	96232
155	12686	96290
156	12785	96342
157	12888	96418
158	12987	96464
159	13086	96509
160	13181	96525
161	13277	96546
162	13373	96569
163	13470	96590
164	13568	96622
165	13669	96672
166	13765	96688
167	13864	96722
168	13960	96733
169	14056	96742
170	14154	96761
171	14250	96770
172	14342	96751
173	14438	96755
174	14541	96804
175	14638	96812
176	14726	96765
177	14824	96776
178	14921	96778
179	15018	96784
180	15114	96785
181	15214	96803
182	15310	96798
183	15409	96808
184	15504	96797
185	15604	96815
186	15708	96852
187	15804	96842
188	15902	96847
189	16004	96867
190	16104	96880
191	16206	96898
192	16308	96919
193	16407	96920
194	16506	96923
195	16602	96904
196	16700	96899
197	16800	96897
198	16897	96882
199	16997	96884
200	17093	96865
201	17194	96868
202	17292	96853
203	17389	96836
